text,label
"Hello, I am contacting you about your account.  Please verify your identity by clicking http://example.com/verify",2
"Don't miss out!  Limited time offer. Click here to buy now",1
"Meeting tomorrow at 10am. Please confirm attendance.",0
"Your account has been suspended.  Verify now:  http://malicious.example.com",2
"Hey, are you free for lunch today? ",0
"Congratulations! You won a prize.  Provide your details to claim.",1
"Your OTP is 123456. Do not share it with anyone",2
"Reminder: Your subscription renews next week",0
"Cheap meds available online, buy now",1
"Urgent:  Transfer required or account will be blocked",2
"Let's catch up this weekend? ",0
"EXCLUSIVE OFFER: Get rich quick scheme, LIMITED TIME",1
"Your bank account has been locked due to suspicious activity.  Verify immediately.",2
"Project update: Meeting moved to Friday",0
"Lose weight fast with our miracle pills! ",1
"Click here to confirm your PayPal account before it expires",2
"Thanks for the feedback on my presentation",0
"FREE MONEY!  Claim your inheritance now!!! ",1
"We detected unusual activity.  Update your password now or lose access.",2
"Dinner reservation confirmed for 8pm",0
"BUY NOW AND SAVE 50%!  OFFER ENDS TODAY! ",1
"Your Netflix password needs to be reset.  Click link below.",2
"Can you send me that report you mentioned?",0
"Work from home and earn $5000 daily! ",1
"Your Apple ID will be disabled in 24 hours unless you verify.",2
"Looking forward to the conference next month",0
"SHOCKING!  Celebrities don't want you to know this secret",1
"Verify your identity to avoid account suspension",2
"Just finished reading that book you recommended",0
"Make money fast with cryptocurrency! ",1
"Your payment failed. Update your card details immediately.",2
"Morning standup is at 9am tomorrow",0
"Get FREE iPhone 13!  Click now before stock runs out!!! ",1
"Unusual sign-in activity detected.  Confirm identity now.",2
"How are you doing?  Haven't heard from you in a while",0
"Pills for weight loss - natural and effective! ",1
"Your account will be closed unless you verify within 24 hours",2
"Lunch tomorrow at the Italian place? ",0
"LIMITED SLOTS AVAILABLE! Register now for our training course",1
"We need to verify your information to keep your account active",2
"Great job on the project delivery!",0
"Earn passive income with our investment scheme",1
"Click to confirm your identity or lose banking access",2
"Can we reschedule the meeting to next week?",0
"UNBELIEVABLE DEAL on luxury items - act now!",1
"Verify your account immediately or it will be permanently closed",2
"Your flight is confirmed for tomorrow",0
"Work from anywhere!  Make money without effort! ",1
"Your security verification is required.  Click here urgently.",2
"Just checking in to see how you're doing",0
"AMAZING OPPORTUNITY:  Become a distributor and earn big! ",1
"Update your payment method or your subscription will be cancelled",2
"The meeting notes are attached",0
"Get Instagram followers fast and easy! ",1
"Your login was unusual.  Verify your account now before access is restricted.",2
"Hope to see you at the event next week",0
"Transform your body in 30 days with this secret formula! ",1
"Your password has expired. Reset it immediately.",2
"Thanks for coming to the presentation",0
"CLICK HERE for your FREE consultation and see results! ",1
"Suspicious activity detected on your account.  Verify immediately.",2
"Looking forward to hearing from you",0
"Be your own boss!  Start earning today with minimal investment! ",1
"Your account access will be revoked.  Confirm your details now.",2
"Weather looks nice tomorrow",0
"Join thousands of satisfied customers - BUY NOW!",1
"Unusual device login detected. Verify your identity.",2
"See you at the team building event",0
"Make $10000 per month from home - guaranteed!",1
"Final notice: Update your account info or lose access.",2
"Thank you for the lovely dinner last night",0
"LAST CHANCE: Get this exclusive offer before it's gone!",1
"Your account has suspicious activity. Click to verify your identity.",2
"The deadline for the project is Friday",0
"Incredible weight loss pills - no exercise needed!",1
"Verify your payment method before your account is suspended.",2
"Let me know if you're available next Tuesday",0
"UNBEATABLE PRICES on electronics - shop now!",1
"Your access will be restricted. Verify account now.",2
"Hope you're having a great week! ",0
"Quick money - invest $100 and earn $1000s! ",1
"Urgent verification needed:  Your account is at risk of closure.",2
"See you at the coffee meeting",0
"Diamonds at wholesale prices - BUY DIRECT!",1
"Confirm identity immediately or account will be deleted.",2
"Just wanted to check in and say hi",0
"Revolutionary product - limited stock available - ORDER NOW!",1
"Your account security alert: Verify immediately.",2
"Congratulations on your promotion!",0
"Double your investment in 30 days - GUARANTEED returns!",1
"Update banking info now or service will be terminated.",2
"How have you been lately?",0
"EXCLUSIVE MEMBERS ONLY - Limited time access!",1
"Act now before your account is locked permanently.",2
"Great to connect with you!",0
"Instant approval for personal loan - apply now!",1
"Your card has been compromised. Update details urgently.",2
"Looking forward to our meeting",0
"Free gift card - just verify your details!",1
"Security alert on your account - confirm identity now.",2
"See you soon!",0
"Earn commission selling our products!",1
"Your banking session expired. Re-verify immediately.",2
"Have a great day!",0
"Get certified and earn more - enroll today!",1
"Urgent action required on your account before it closes.",2
"Thanks for your support!",0
"Unlimited data plan - upgrade now before offer ends!",1
"Verify account or lose all your data.",2
"Looking forward to it!",0
"New gadgets at unbeatable prices - shop today!",1
"Immediate action needed to secure your account.",2
